"matching","logodds","df","set"
"nonmatch",-10.8144020605743,3,"Rot 1"
"nonmatch",-12.5595692567776,3,"Rot 1"
"nonmatch",-9.79802156569207,3,"Rot 1"
"nonmatch",-10.656058277501,3,"Rot 1"
"nonmatch",-6.45108960529717,3,"Rot 1"
"nonmatch",-11.1649525166463,3,"Rot 1"
"nonmatch",-11.3562585418732,3,"Rot 1"
"nonmatch",-12.8148935587091,3,"Rot 1"
"nonmatch",-10.2617617303159,3,"Rot 1"
"nonmatch",-4.95130477389709,3,"Rot 1"
"nonmatch",-11.3852285203202,3,"Rot 1"
"nonmatch",-12.2913455235919,3,"Rot 1"
"nonmatch",-5.33613961027966,3,"Rot 1"
"nonmatch",-12.0797792357075,3,"Rot 1"
"match",11.0460481797097,3,"Rot 1"
"nonmatch",-8.62663342471545,3,"Rot 1"
"nonmatch",-12.45303222708,3,"Rot 1"
"nonmatch",-12.4670427528633,3,"Rot 1"
"nonmatch",-11.3615445373493,3,"Rot 1"
"nonmatch",-11.0495188525868,3,"Rot 1"
"nonmatch",-9.86042723306896,3,"Rot 1"
"nonmatch",-6.64732762520946,3,"Rot 1"
"nonmatch",-11.3840942083864,3,"Rot 1"
"nonmatch",-11.3223668347615,3,"Rot 1"
"nonmatch",-11.270392446223,3,"Rot 1"
"nonmatch",-10.6894382930623,3,"Rot 1"
"nonmatch",-11.6136871222697,3,"Rot 1"
"nonmatch",-9.27189375238221,3,"Rot 1"
"nonmatch",-6.75701066851832,3,"Rot 1"
"nonmatch",-9.93072799660554,3,"Rot 1"
"nonmatch",-8.56594876618715,3,"Rot 1"
"match",13.3443897045461,3,"Rot 1"
"nonmatch",-8.46422339666379,3,"Rot 1"
"nonmatch",-5.88915208915385,3,"Rot 1"
"nonmatch",-6.32357341458008,3,"Rot 1"
"nonmatch",-10.8805433223841,3,"Rot 1"
"nonmatch",-10.1005707723014,3,"Rot 1"
"nonmatch",-3.64462564353416,3,"Rot 1"
"nonmatch",-8.82448147347902,3,"Rot 1"
"nonmatch",-6.58279774464761,3,"Rot 1"
"nonmatch",-3.85193195800591,3,"Rot 1"
"nonmatch",-7.05453744793431,3,"Rot 1"
"nonmatch",-10.2786946350774,3,"Rot 1"
"nonmatch",-10.8513472909177,3,"Rot 1"
"nonmatch",-3.89399866321453,3,"Rot 1"
"nonmatch",-9.34447676595043,3,"Rot 1"
"nonmatch",-7.87262565666526,3,"Rot 1"
"nonmatch",-6.71377714145211,3,"Rot 1"
"match",7.97292603397011,3,"Rot 1"
"nonmatch",-10.2275793650567,3,"Rot 1"
"nonmatch",-13.2901187235107,3,"Rot 1"
"nonmatch",-12.0573628293514,3,"Rot 1"
"nonmatch",-6.48137371987255,3,"Rot 1"
"nonmatch",-6.02447342952069,3,"Rot 1"
"nonmatch",-11.2639592829368,3,"Rot 1"
"nonmatch",-7.10980122118317,3,"Rot 1"
"nonmatch",-8.78778133275848,3,"Rot 1"
"nonmatch",-10.1313490871254,3,"Rot 1"
"nonmatch",-9.98876238822146,3,"Rot 1"
"nonmatch",-12.8223857446128,3,"Rot 1"
"nonmatch",-8.37939607219554,3,"Rot 1"
"nonmatch",-8.61029450660692,3,"Rot 1"
"nonmatch",-11.7999900161303,3,"Rot 1"
"nonmatch",-8.93616877370055,3,"Rot 1"
"nonmatch",-8.17902912538668,3,"Rot 1"
"match",8.15406027231117,3,"S-10-09-02-01"
"nonmatch",-5.54159536614679,3,"S-10-09-02-01"
"nonmatch",-7.8097177461209,3,"S-10-09-02-01"
"nonmatch",-4.40514278407306,3,"S-10-09-02-01"
"nonmatch",-9.25969003540643,3,"S-10-09-02-01"
"nonmatch",-8.25691644307081,3,"S-10-09-02-01"
"nonmatch",-7.61215347005214,3,"S-10-09-02-01"
"nonmatch",-8.06628878738522,3,"S-10-09-02-01"
"nonmatch",-7.80106071051382,3,"S-10-09-02-01"
"nonmatch",-8.57794129208349,3,"S-10-09-02-01"
"nonmatch",-7.22505762186952,3,"S-10-09-02-01"
"nonmatch",-5.72318390103896,3,"S-10-09-02-01"
"nonmatch",-5.06004279993489,3,"S-10-09-02-01"
"nonmatch",-8.85220234663612,3,"S-10-09-02-01"
"nonmatch",-9.05659590640439,3,"S-10-09-02-01"
"nonmatch",-8.44402721105203,3,"S-10-09-02-01"
"nonmatch",-7.05422821563551,3,"S-10-09-02-01"
"nonmatch",-8.05296181315656,3,"S-10-09-02-01"
"nonmatch",-6.04662042298812,3,"S-10-09-02-01"
"match",7.61854267652993,3,"S-10-09-02-01"
"nonmatch",-5.29459847837562,3,"S-10-09-02-01"
"nonmatch",-7.33964547048736,3,"S-10-09-02-01"
"nonmatch",-5.88627256026004,3,"S-10-09-02-01"
"nonmatch",-7.05594963895135,3,"S-10-09-02-01"
"nonmatch",-6.36446382940958,3,"S-10-09-02-01"
"nonmatch",-6.0467650236015,3,"S-10-09-02-01"
"nonmatch",-7.18793628885649,3,"S-10-09-02-01"
"nonmatch",-6.53617322623762,3,"S-10-09-02-01"
"nonmatch",-6.64812702998568,3,"S-10-09-02-01"
"nonmatch",-6.77620424774903,3,"S-10-09-02-01"
"nonmatch",-5.76214330830262,3,"S-10-09-02-01"
"nonmatch",-7.658653327485,3,"S-10-09-02-01"
"nonmatch",-6.25997277779197,3,"S-10-09-02-01"
"nonmatch",-7.82307762045916,3,"S-10-09-02-01"
"nonmatch",-8.44421459700047,3,"S-10-09-02-01"
"nonmatch",-7.58939964462349,3,"S-10-09-02-01"
"nonmatch",-5.33581947575868,3,"S-10-09-02-01"
"nonmatch",-5.21786410795538,3,"S-10-09-02-01"
"match",7.48020777181589,3,"S-10-09-02-01"
"nonmatch",-7.58043842762288,3,"S-10-09-02-01"
"nonmatch",-5.73398892257518,3,"S-10-09-02-01"
"nonmatch",-5.07165344761134,3,"S-10-09-02-01"
"nonmatch",-5.82036921237677,3,"S-10-09-02-01"
"nonmatch",-1.7251995450924,3,"S-10-09-02-01"
"nonmatch",-6.54320172105795,3,"S-10-09-02-01"
"nonmatch",-7.96319989267383,3,"S-10-09-02-01"
"nonmatch",-4.24761174631148,3,"S-10-09-02-01"
"nonmatch",-5.54318756239692,3,"S-10-09-02-01"
"nonmatch",-6.57813039964787,3,"S-10-09-02-01"
"nonmatch",-4.29958388176823,3,"S-10-09-02-01"
"nonmatch",-5.23633786120316,3,"S-10-09-02-01"
"nonmatch",-8.82955594169674,3,"S-10-09-02-01"
"nonmatch",-7.24922766812601,3,"S-10-09-02-01"
"nonmatch",-6.37376287191485,3,"S-10-09-02-01"
"nonmatch",-7.83300952723399,3,"S-10-09-02-01"
"nonmatch",-8.12897845286612,3,"S-10-09-02-01"
"nonmatch",-4.43527188367988,3,"S-10-09-02-01"
"match",8.80906501487286,3,"S-10-09-02-01"
"nonmatch",-4.45672942520487,3,"S-10-09-02-01"
"nonmatch",-6.89241355599354,3,"S-10-09-02-01"
"nonmatch",-1.36718670109508,3,"S-10-09-02-01"
"nonmatch",-4.82737909255219,3,"S-10-09-02-01"
"nonmatch",-7.36616514093433,3,"S-10-09-02-01"
"nonmatch",-4.91558728775203,3,"S-10-09-02-01"
"nonmatch",-3.9869825750646,3,"S-10-09-02-01"
"nonmatch",-8.45765846082997,3,"S-10-09-02-01"
"nonmatch",-3.94949564685681,3,"S-10-09-02-01"
"nonmatch",-7.69909066996398,3,"S-10-09-02-01"
"nonmatch",-9.14011336090701,3,"S-10-09-02-01"
"nonmatch",-5.46418103604403,3,"S-10-09-02-01"
"nonmatch",-4.97399003246713,3,"S-10-09-02-01"
"nonmatch",-6.73983818681315,3,"S-10-09-02-01"
