"matching","logodds","df","set"
"nonmatch",-11.487760107538,3,"S-10-09-02-01"
"match",15.8854860154845,5,"K-9-9-01"
"nonmatch",-9.95555946415788,5,"K-9-9-01"
"nonmatch",-12.4900726470829,5,"K-9-9-01"
"nonmatch",-11.8712313071376,5,"K-9-9-01"
"nonmatch",-10.9737631332714,5,"K-9-9-01"
"nonmatch",-11.6767119848955,5,"K-9-9-01"
"nonmatch",-6.89214957745185,5,"K-9-9-01"
"nonmatch",-10.6339641718005,5,"K-9-9-01"
"nonmatch",-11.7380801128917,5,"K-9-9-01"
"nonmatch",-10.6139881374667,5,"K-9-9-01"
"nonmatch",-11.483834361179,5,"K-9-9-01"
"nonmatch",-10.554974810133,5,"K-9-9-01"
"nonmatch",-12.2084411824273,5,"K-9-9-01"
"nonmatch",-12.7490365370182,5,"K-9-9-01"
"nonmatch",-8.0615200146912,5,"K-9-9-01"
"nonmatch",-11.1834081649966,5,"K-9-9-01"
"nonmatch",-11.1651440845469,5,"K-9-9-01"
"match",9.48661857794547,5,"K-9-9-01"
"nonmatch",-11.2292793203899,5,"K-9-9-01"
"nonmatch",-11.6946943782029,5,"K-9-9-01"
"nonmatch",-9.88248758467705,5,"K-9-9-01"
"nonmatch",-11.3531336114739,5,"K-9-9-01"
"nonmatch",-10.3442424510829,5,"K-9-9-01"
"nonmatch",-9.08913660019829,5,"K-9-9-01"
"nonmatch",-12.488472265972,5,"K-9-9-01"
"nonmatch",-10.1208101944274,5,"K-9-9-01"
"nonmatch",-9.2483702352151,5,"K-9-9-01"
"nonmatch",-10.8820325719459,5,"K-9-9-01"
"nonmatch",-11.4426445652699,5,"K-9-9-01"
"nonmatch",-9.32690640243437,5,"K-9-9-01"
"nonmatch",-7.93866605180783,5,"K-9-9-01"
"nonmatch",-11.1318759572352,5,"K-9-9-01"
"nonmatch",-10.0620638756127,5,"K-9-9-01"
"nonmatch",-9.75923355363172,5,"K-9-9-01"
"match",15.0962577159166,5,"K-9-9-01"
"nonmatch",-13.8578514402958,5,"K-9-9-01"
"nonmatch",-9.82052337719411,5,"K-9-9-01"
"nonmatch",-12.7693136394263,5,"K-9-9-01"
"nonmatch",-10.6797975414823,5,"K-9-9-01"
"nonmatch",-13.1849346498794,5,"K-9-9-01"
"nonmatch",-8.08354896568374,5,"K-9-9-01"
"nonmatch",-9.41383408445567,5,"K-9-9-01"
"nonmatch",-12.6007796366064,5,"K-9-9-01"
"nonmatch",-6.05651507535622,5,"K-9-9-01"
"nonmatch",-8.99848367715079,5,"K-9-9-01"
"nonmatch",-11.1622256412924,5,"K-9-9-01"
"nonmatch",-7.17993205997374,5,"K-9-9-01"
"nonmatch",-8.33421826203978,5,"K-9-9-01"
"nonmatch",-13.4399162974346,5,"K-9-9-01"
"nonmatch",-6.72823083770088,5,"K-9-9-01"
"nonmatch",-8.6220029055238,5,"K-9-9-01"
"match",14.5816675137947,5,"K-9-9-01"
"nonmatch",-12.5073116018129,5,"K-9-9-01"
"nonmatch",-10.8568136053433,5,"K-9-9-01"
"nonmatch",-13.6289719745421,5,"K-9-9-01"
"nonmatch",-10.991824025814,5,"K-9-9-01"
"nonmatch",-11.0110405922221,5,"K-9-9-01"
"nonmatch",-11.9828954024723,5,"K-9-9-01"
"nonmatch",-10.3134669088291,5,"K-9-9-01"
"nonmatch",-12.9926849583203,5,"K-9-9-01"
"nonmatch",-11.1505355199093,5,"K-9-9-01"
"nonmatch",-10.1216208135023,5,"K-9-9-01"
"nonmatch",-11.4592595064954,5,"K-9-9-01"
"nonmatch",-9.65458480805235,5,"K-9-9-01"
"nonmatch",-12.2359867792565,5,"K-9-9-01"
"nonmatch",-8.19384419058603,5,"K-9-9-01"
"nonmatch",-12.2240688798254,5,"K-9-9-01"
"nonmatch",-11.5745859223425,5,"K-9-9-01"
"match",13.309996402025,5,"K-9-9-01"
"nonmatch",-13.0887417302556,5,"K-9-9-01"
"nonmatch",-11.4345721587086,5,"K-9-9-01"
"nonmatch",-9.25792744660489,5,"K-9-9-01"
"nonmatch",-11.7024003372158,5,"K-9-9-01"
"nonmatch",-14.5250414825824,5,"K-9-9-01"
"nonmatch",-10.2745242796241,5,"K-9-9-01"
"nonmatch",-8.28056625983383,5,"K-9-9-01"
"nonmatch",-11.0006859275545,5,"K-9-9-01"
"nonmatch",-10.2463623933417,5,"K-9-9-01"
"nonmatch",-12.463084368084,5,"K-9-9-01"
"nonmatch",-8.69261355503544,5,"K-9-9-01"
"nonmatch",-11.8267735014754,5,"K-9-9-01"
"nonmatch",-9.5058974978065,5,"K-9-9-01"
"nonmatch",-12.5505988450894,5,"K-9-9-01"
"nonmatch",-8.24073855714443,5,"K-9-9-01"
"nonmatch",-12.1808572817823,5,"K-9-9-01"
"match",14.8236055405895,5,"K-9-9-01"
"nonmatch",-13.5411821786833,5,"K-9-9-01"
"nonmatch",-9.83805992171153,5,"K-9-9-01"
"nonmatch",-10.5437620720309,5,"K-9-9-01"
"nonmatch",-14.1127381704014,5,"K-9-9-01"
"nonmatch",-10.5740044834019,5,"K-9-9-01"
"nonmatch",-14.3430254382639,5,"K-9-9-01"
"nonmatch",-8.64857188280031,5,"K-9-9-01"
"nonmatch",-9.3416647872602,5,"K-9-9-01"
"nonmatch",-13.3598649946786,5,"K-9-9-01"
"nonmatch",-9.810418597345,5,"K-9-9-01"
"nonmatch",-14.3476190558855,5,"K-9-9-01"
"nonmatch",-13.1935852605885,5,"K-9-9-01"
"nonmatch",-12.4052076532548,5,"K-9-9-01"
"nonmatch",-13.5771266693739,5,"K-9-9-01"
"nonmatch",-11.3030031277514,5,"K-9-9-01"
"nonmatch",-12.5759796613457,5,"K-9-9-01"
"match",8.7798506249972,5,"K-9-9-01"
"nonmatch",-7.38245760699823,5,"K-9-9-01"
"nonmatch",-12.7121400406875,5,"K-9-9-01"
"nonmatch",-13.1595152281555,5,"K-9-9-01"
"nonmatch",-11.1110235979562,5,"K-9-9-01"
"nonmatch",-11.9326396921121,5,"K-9-9-01"
"nonmatch",-13.6568247743832,5,"K-9-9-01"
"nonmatch",-8.9186593477382,5,"K-9-9-01"
"nonmatch",-11.3711728030323,5,"K-9-9-01"
"nonmatch",-14.1296520930268,5,"K-9-9-01"
"nonmatch",-8.75001418898233,5,"K-9-9-01"
"nonmatch",-11.9668337484821,5,"K-9-9-01"
"nonmatch",-13.1095532476142,5,"K-9-9-01"
"nonmatch",-13.0221636532752,5,"K-9-9-01"
"nonmatch",-11.9658383209507,5,"K-9-9-01"
"nonmatch",-14.3531719788123,5,"K-9-9-01"
"nonmatch",-13.080353451848,5,"K-9-9-01"
"match",8.26285948996308,5,"K-9-9-01"
"nonmatch",-13.8945971515679,5,"K-9-9-01"
"nonmatch",-11.7658255745282,5,"K-9-9-01"
"nonmatch",-7.8039506768323,5,"K-9-9-01"
"nonmatch",-11.8111271385622,5,"K-9-9-01"
"nonmatch",-9.43086461479268,5,"K-9-9-01"
"nonmatch",-14.0244405636819,5,"K-9-9-01"
